x,y,x_pix,y_pix,fiber_area,myelin_area,fiber_area_pix,myelin_area_pix,rho,rho_pix,phi,hull_vertices,perimeter,hull_vertices_w_myel,shortest_diameter,longest_diameter,shortest_diameter_w_myel,longest_diameter_w_myel,eff_fib_diam,eff_fib_diam_w_myel,median_myelin_thickness,max_myelin_thickness,myelinated,chat,unmyel_nf,nav,th_overlap_p,c_estimate_nf_frac,c_estimate_nf,c_estimate_nav,c_estimate_nav_frac
10.543,182.195,70.284,1214.633,2.452,3.105,109,138,203.694,1357.958,1.437,"[[9.900,182.550],[9.750,181.200],[10.200,181.200],[10.650,181.350],[10.950,181.650],[11.250,182.100],[11.400,182.550],[11.400,182.850],[11.250,183.000],[10.200,183.000]]",5.825,"[[13.200,182.400],[13.200,184.350],[13.050,185.250],[12.900,185.400],[11.850,185.850],[11.400,185.850],[11.250,185.700],[9.300,183.450],[9.150,182.250],[9.150,182.100],[9.750,181.200],[10.200,181.200],[12.150,181.350],[12.600,181.650],[13.050,182.100]]",1.364,2.174,2.95,5.106,1.767,2.66,0.807,3.024,True,False,False,False,0.0,0.0,0,,
15.481,188.958,103.204,1259.72,2.092,10.575,93,470,197.989,1319.926,1.467,"[[16.350,189.450],[16.350,189.750],[16.200,189.900],[15.750,189.900],[15.150,189.300],[14.550,188.400],[14.400,188.100],[14.400,187.950],[14.550,187.950],[15.300,188.250],[15.900,188.550],[16.200,189.000]]",6.022,"[[15.900,185.850],[17.700,189.450],[17.550,189.750],[16.950,190.350],[16.500,190.650],[16.200,190.650],[15.300,190.350],[15.000,190.050],[12.450,187.200],[12.300,186.600],[12.750,185.550],[13.050,185.400],[13.500,185.400],[14.400,185.550]]",1.042,2.481,2.891,6.219,1.632,4.016,1.193,3.238,True,False,False,False,0.0,0.0,0,,
19.91,187.52,132.731,1250.133,6.772,3.645,301,162,193.741,1291.609,1.458,"[[19.050,186.000],[19.800,186.000],[20.700,186.600],[21.300,187.200],[21.300,187.800],[21.000,189.000],[20.400,189.300],[20.250,189.300],[18.900,188.100],[18.750,187.950],[18.450,187.500],[18.450,186.750],[18.750,186.300]]",9.612,"[[23.100,187.350],[23.100,188.250],[20.700,189.300],[20.250,189.450],[19.650,189.600],[19.200,189.300],[18.150,188.100],[18.000,187.500],[18.000,187.200],[18.450,185.700],[18.750,185.550],[19.050,185.550],[19.500,185.700]]",2.316,3.512,3.281,5.106,2.936,3.638,0.503,1.828,True,False,False,False,0.0,0.0,0,,
7.559,194.663,50.391,1297.754,5.58,2.228,248,99,205.382,1369.214,1.499,"[[6.600,193.050],[7.200,193.050],[7.800,193.350],[8.400,193.950],[8.550,194.250],[9.150,196.050],[9.150,196.500],[9.000,196.650],[8.250,196.950],[7.800,196.500],[6.150,194.550],[6.000,194.250],[6.000,193.650]]",10.797,"[[10.350,195.900],[9.750,197.700],[8.250,196.950],[7.800,196.500],[6.150,194.550],[6.000,194.250],[6.000,193.650],[6.600,193.050],[7.200,193.050],[8.700,193.800],[10.500,195.000],[10.500,195.300]]",2.098,4.263,2.343,5.296,2.665,3.153,1.243,4.779,True,False,False,False,0.0,0.0,0,,
10.525,192.555,70.168,1283.699,2.542,2.25,113,100,202.588,1350.585,1.488,"[[11.700,193.200],[11.550,193.350],[11.400,193.350],[10.350,193.200],[9.900,192.900],[9.300,192.150],[9.300,191.850],[10.350,191.850],[10.800,192.000],[11.700,192.900]]",6.321,"[[12.300,190.950],[12.750,192.900],[12.750,193.800],[12.600,193.950],[10.500,194.850],[9.300,192.750],[9.300,191.400],[9.750,191.250],[10.350,191.100],[11.400,190.950]]",1.232,2.596,3.19,3.953,1.799,2.47,0.98,1.757,True,False,False,False,0.0,0.0,0,,
10.338,189.101,68.922,1260.675,1.732,13.32,77,592,203.09,1353.934,1.471,"[[11.250,189.450],[10.950,189.600],[9.900,189.600],[9.600,189.300],[9.600,188.400],[9.750,188.400],[10.350,188.550],[10.950,188.850],[11.250,189.150]]",4.873,"[[7.950,186.300],[9.300,185.700],[11.250,185.850],[12.000,186.000],[12.150,186.300],[12.300,186.750],[12.600,190.050],[12.600,190.350],[12.450,190.950],[11.400,190.800],[8.400,190.350],[8.100,190.200],[7.650,189.750],[7.350,188.850],[7.350,188.700],[7.500,187.500]]",1.03,1.736,4.711,6.04,1.485,4.378,1.851,2.967,True,False,False,False,0.0,0.0,0,,
14.711,203.017,98.074,1353.444,0.607,1.26,27,56,197.803,1318.687,1.539,"[[15.000,203.400],[14.550,203.400],[14.400,203.100],[14.400,202.650],[14.850,202.650],[15.000,202.800]]",2.498,"[[14.100,204.000],[13.050,203.550],[13.350,203.100],[14.550,202.500],[14.850,202.500],[15.000,202.800],[15.000,203.400],[14.850,203.700],[14.700,203.850]]",0.602,0.888,0.966,1.895,0.879,1.542,0.451,1.979,True,False,False,False,0.0,0.0,0,,
22.466,205.022,149.772,1366.81,1.777,7.178,79,319,189.996,1266.639,1.548,"[[21.450,205.050],[21.750,204.600],[21.900,204.450],[22.650,204.450],[23.400,205.200],[23.400,205.350],[23.100,205.650],[22.950,205.650],[22.350,205.500],[21.600,205.200]]",4.926,"[[24.900,205.950],[23.400,206.550],[22.950,206.700],[22.500,206.550],[21.750,206.100],[21.450,205.800],[21.000,205.200],[20.250,203.700],[20.400,203.400],[20.550,203.250],[22.050,202.950],[22.950,203.250],[23.100,203.400]]",1.048,1.838,2.739,4.683,1.504,3.377,1.043,1.81,True,False,False,False,0.0,0.0,0,,
22.209,200.541,148.062,1336.938,0.36,8.595,16,382,190.408,1269.387,1.524,"[[21.900,200.250],[22.200,200.250],[22.500,200.550],[22.500,200.850],[22.350,200.850],[22.050,200.700],[21.900,200.400]]",1.995,"[[20.250,200.700],[20.550,199.050],[20.700,198.750],[21.150,198.750],[22.350,199.200],[22.650,199.350],[23.100,199.650],[23.250,199.800],[23.400,200.400],[23.550,201.300],[23.550,201.750],[23.400,202.050],[23.250,202.200],[22.200,202.350],[21.750,202.200],[21.000,201.900],[20.550,201.450],[20.250,201.000]]",0.419,0.783,2.975,4.112,0.677,3.377,1.51,1.958,True,False,False,False,0.0,0.0,0,,
11.325,197.175,75.5,1314.5,0.405,4.072,18,181,201.458,1343.05,1.51,"[[11.250,197.400],[10.950,197.100],[10.950,196.950],[11.400,196.950],[11.700,197.250],[11.700,197.400]]",2.049,"[[9.900,197.400],[10.500,195.600],[10.800,195.300],[11.250,195.300],[11.400,195.450],[11.850,196.050],[12.000,197.250],[12.000,198.000],[11.400,198.300],[11.250,198.300],[10.800,198.150],[9.900,197.700]]",0.426,0.811,1.988,2.994,0.718,2.388,0.959,2.174,True,False,False,False,0.0,0.0,0,,
